sales_direct,olv_imps,value_currency_rate,thanksgivingday_us_ca,cost_remarketing,martinl_kingsday_us_ca,presidentsday_us_ca,independenceday_us_ca,meta_comp_grp,cost_ppc_non_brand,boxingday,sales_emk,eastermonday,sales_ppc_brand,olv_net_spend_eur,eastersunday,radio_net_spend_eur,labourday_de_nw,sales_shop_tripadvisor,clicks_remarketing,sales_interco,mayday_gb_en,sales_shop_googleha,cost_email,sales_strat_part,fb_imps,remembrance_memorialday_us_ca,fb_cost,clicks_shop_trivago,clicks_email,cost_shop_other,brandtv_net_spend_eur,clicks_shop_other,country,weekstart,clicks_shop_googleha,display_imps,cost_ppc_brand,christmasday,christsascensionday_de_nw,cost_shop_tripadvisor,drtv_grp,ooh_net_spend_eur,yt_cost,newyearsday,sales_shop_trivago,stvalentinesday,display_net_spend_eur,whitmonday_de_nw,germanunityday_de_nw,bankholiday_gb_en,ota_comp_grp,clicks_shop_tripadvisor,cost_shop_trivago,sales_retargeting,cost_shop_googleha,cinema_net_spend_eur,sales_shop_other,totbookings,yt_imps,sales_ppc_nonbrand,clicks_ppc_non_brand,print_net_spend_eur,drtv_net_spend_eur,brandtv_grp,clicks_ppc_brand,labourday_us_ca,_source_sheet,country_std,week_start
183169.0,0.0,1.0,0.0,58684.506091931464,0.0,0.0,0.0,926.0,2196493.639246079,0.0,16703.0,0.0,48228.0,0.0,0.0,0.0,0.0,9503.0,172069.87848567544,867.0,0.0,10423.0,0.0,16547.0,0.0,0.0,0.0,847827.0122455618,474859.0,103139.32064353781,0.0,250527.00000234373,de,2016-01-04,133462.1228326834,0.0,68560.24028723918,0.0,0.0,283108.4602354565,0.0,0.0,0.0,0.0,18302.0,0.0,0.0,0.0,0.0,0.0,321.0,367987.9780368065,377911.5653610819,2040.0,170087.67654555157,0.0,4678.0,398268.0,12.0,87808.0,2496438.105482676,0.0,0.0,0.0,378640.216496467,0.0,Sheet1,58684.506091931464,
184480.0,0.0,1.0,0.0,76380.20708756169,0.0,0.0,0.0,706.0,2306422.3057122924,0.0,16278.0,0.0,49076.0,0.0,0.0,0.0,0.0,9143.0,198123.39674614757,858.0,0.0,11107.0,0.0,17340.0,57831.0,0.0,89.38632472434621,961232.4792121585,478024.0,116137.87827610009,0.0,278878.6497169609,de,2016-01-11,136016.48013114033,0.0,70502.24807556652,0.0,0.0,257639.56583605034,0.0,0.0,0.0,0.0,21148.0,0.0,0.0,0.0,0.0,0.0,225.0,353354.8448400918,471254.19772818114,2236.0,193176.38659508977,0.0,5019.0,404068.0,247.0,87383.0,2520207.847711387,0.0,0.0,0.0,386722.3779125776,0.0,Sheet1,76380.20708756169,
178895.0,0.0,1.0,0.0,81636.48345888322,1.0,0.0,0.0,813.0,2379033.568178231,0.0,15822.0,0.0,45575.0,0.0,0.0,0.0,0.0,8568.0,186402.47644404447,806.0,0.0,10048.0,0.0,16873.0,104754.0,0.0,231.02764180934932,912773.599042488,482391.0,116345.87218029724,0.0,288057.500725426,de,2016-01-18,126167.2554736897,0.0,61647.322276398714,0.0,0.0,247711.89223694362,0.0,0.0,1.459669454521363,0.0,19715.0,0.0,0.0,0.0,0.0,0.0,231.0,332119.4154158487,439863.1765918453,2224.0,191568.47780210254,0.0,4963.0,388746.0,10249.0,85257.0,2538803.218243045,0.0,0.0,0.0,372694.0751970905,0.0,Sheet1,81636.48345888322,
178961.0,0.0,1.0,0.0,97974.91660718997,0.0,0.0,0.0,1249.0,2342181.6127499267,0.0,15441.0,0.0,46037.0,0.0,0.0,0.0,0.0,8065.0,203471.1610911142,770.0,0.0,10234.0,0.0,17386.0,0.0,0.0,0.0,1063155.0151859396,477310.0,117989.86840617268,0.0,281681.7670538152,de,2016-01-25,127212.7185336081,0.0,58113.630201422224,0.0,0.0,220940.04813301723,0.0,0.0,4.025302034241702,0.0,22804.0,0.0,0.0,0.0,0.0,0.0,224.0,299462.6513030635,499118.5175060062,2498.0,210296.03351842173,0.0,5266.0,391945.0,6144.0,84483.0,2520337.9856762104,0.0,0.0,0.0,367930.61482652684,0.0,Sheet1,97974.91660718997,
178238.0,0.0,1.0,0.0,95282.00638886205,0.0,0.0,0.0,772.0,2242276.1837176606,0.0,15610.0,0.0,45020.0,0.0,0.0,0.0,0.0,7610.0,205548.00983091973,807.0,0.0,10490.0,0.0,17840.0,248451.0,0.0,476.43630731875004,1059135.1027102878,475233.0,123253.97857337822,0.0,259377.43380454154,de,2016-02-01,130732.60389547155,0.0,56688.93115164403,0.0,0.0,204314.70074360108,0.0,0.0,0.00998691270776077,0.0,23259.0,0.0,0.0,0.0,0.0,0.0,341.0,281375.92507126887,487391.44644863316,2481.0,214412.05592744044,0.0,5186.0,389989.0,2.0,83448.0,2354454.8404535092,0.0,0.0,0.0,352899.3307616926,0.0,Sheet1,95282.00638886205,
188919.0,0.0,1.0,0.0,91506.70939205232,0.0,0.0,0.0,781.0,2365102.419772446,0.0,16211.0,0.0,47840.0,0.0,0.0,0.0,0.0,7614.0,204123.44598208505,819.0,0.0,12092.0,0.0,18529.0,609920.0,0.0,2040.5844969119175,1204809.140244811,491924.0,122457.49601116175,0.0,263735.0458903978,de,2016-02-08,147382.72458148043,0.0,54926.65395066809,0.0,0.0,190109.3810875779,0.0,0.0,0.0,0.0,26729.0,1.0,0.0,0.0,0.0,0.0,291.0,315229.1435456392,559927.6458554559,2464.0,220481.7486613308,0.0,5458.0,414721.0,0.0,88046.0,2488595.9553012378,0.0,0.0,0.0,367998.6765184222,0.0,Sheet1,91506.70939205232,
191715.0,0.0,1.0,0.0,79473.1364383877,0.0,1.0,0.0,553.0,2317620.1439300994,0.0,16960.0,0.0,48523.0,0.0,0.0,0.0,0.0,7208.0,183311.0763913794,887.0,0.0,11349.0,0.0,19018.0,114455.0,0.0,738.8475576414354,1071521.3325445366,503387.0,125706.44647147658,0.0,264714.7206077583,de,2016-02-15,136671.60807377443,0.0,54102.82476828198,0.0,0.0,211760.5608041595,0.0,0.0,0.0,0.0,23865.0,0.0,0.0,0.0,0.0,0.0,266.0,301414.3657963328,495390.6498666856,2378.0,214109.54065908314,0.0,5238.0,415016.0,0.0,87875.0,2459958.2767518526,0.0,0.0,0.0,373868.58370276453,0.0,Sheet1,79473.1364383877,
187688.0,0.0,1.0,0.0,76183.13451734948,0.0,0.0,0.0,532.0,2219492.016426854,0.0,16543.0,0.0,47936.0,0.0,0.0,0.0,0.0,7065.0,172451.4767211094,934.0,0.0,11791.0,0.0,18583.0,122752.0,0.0,868.4636028812024,1041516.0981524992,494235.0,120865.17252356581,0.0,245449.5373056262,de,2016-02-22,148840.69575402956,0.0,72957.12363530569,0.0,0.0,194929.0895889711,0.0,0.0,0.0,0.0,23694.0,0.0,0.0,0.0,0.0,0.0,227.0,272328.29312522337,479242.28628614265,2135.0,242566.2659080805,0.0,5212.0,409021.0,0.0,87440.0,2403384.4925821624,0.0,0.0,0.0,369257.7945223153,0.0,Sheet1,76183.13451734948,
195304.0,0.0,1.0,0.0,86922.1624105607,0.0,0.0,0.0,440.0,2274384.519543373,0.0,16510.0,0.0,49602.0,0.0,0.0,0.0,0.0,7876.0,201013.4008773499,1018.0,0.0,12457.0,0.0,18886.0,101856.0,0.0,756.971372592269,1069565.4537254686,504765.0,123391.17498815156,0.0,238966.98771667818,de,2016-02-29,157733.90620157702,0.0,79425.74592234446,0.0,0.0,206219.61095583453,0.0,0.0,0.0,0.0,25561.0,0.0,0.0,0.0,0.0,0.0,163.0,265261.0401290513,501052.72298117867,2636.0,273726.04438379983,0.0,5436.0,427587.0,0.0,92301.0,2434885.7341931816,0.0,0.0,0.0,374382.9353520388,0.0,Sheet1,86922.1624105607,
193168.0,1825108.0,1.0,0.0,56497.18628145359,0.0,0.0,0.0,471.0,2290431.257924713,0.0,15734.0,0.0,48971.0,41211.0,0.0,0.0,0.0,8178.0,139679.41983785888,1108.0,0.0,11964.0,0.0,18790.0,4690834.0,0.0,14833.807669229915,1003399.3581923095,486496.0,123983.22599811,1156604.46,221821.71059355658,de,2016-03-07,152003.09459846542,1106.0,81460.9545063622,0.0,0.0,225297.08259756127,0.0,0.0,27412.89645225685,0.0,24110.0,0.0,25.0,0.0,0.0,0.0,142.0,282356.0703232722,476679.6004741409,1800.0,259850.9903090254,107849.02,4992.0,420821.0,1531152.0,92006.0,2425387.33384516,0.0,0.0,146.65,381225.6348871999,0.0,Sheet1,56497.18628145359,
