weekstart,country,pred,actual,email_spend_eur,ppc_non_brand_spend_eur,ppc_brand_spend_eur,shop_other_spend_eur,trivago_spend_eur,tripadvisor_spend_eur,googleha_spend_eur,remarketing_spend_eur,display_spend_eur,yt_spend_eur,fb_spend_eur,olv_spend_eur,brandtv_spend_eur,drtv_spend_eur,ooh_spend_eur,radio_spend_eur,print_spend_eur,cinema_spend_eur,baseline
2016-01-04,de,392970.926522032,398268.0,0.0,354725.7837209522,0.0,300097.53060557664,29675.778540848813,231126.10554923766,229078.58054770625,185669.48622592236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-11,de,402270.8386179766,404068.0,0.0,363424.4315940446,0.0,308599.2216937023,30879.645472491393,235488.5197049001,236043.3439336824,193296.17544960196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-18,de,399648.0448988309,388746.0,0.0,361245.30943829805,0.0,306607.9741981529,30522.76945762674,233492.4067372829,234404.09575229802,192839.14927443088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-25,de,407237.39373931027,391945.0,0.0,368007.7800181053,0.0,312596.5517580933,31392.924987081555,236552.47354610078,239991.93821576188,198728.6842152631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-01,de,409700.6897454741,389989.0,0.0,369958.33635065827,0.0,315005.27865746757,31527.84336502879,237031.42986611024,241680.24155101596,199589.93542120466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-08,de,412224.0644149061,414721.0,0.0,372575.71955921064,0.0,316868.19528555096,32044.656963873305,237604.37675225188,243511.08006538032,200320.80219833215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-15,de,401043.0657885351,415016.0,0.0,362345.13958979945,0.0,308576.6636914809,30898.454768544994,232449.57699540755,236556.30594610708,193187.3684865903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-22,de,408770.7028924337,409021.0,0.0,369053.8987752228,0.0,314058.8997021999,31417.377908678376,235919.95146146356,242626.7052434401,196387.47651887016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-29,de,420748.1831599802,427587.0,0.0,380026.63965520356,0.0,323512.82755433884,32443.618496308743,243539.16599723336,251230.04127843893,203814.59615267772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-07,de,423308.84151510557,420821.0,0.0,382385.3927449519,0.0,325540.20657804667,32521.93964516389,246132.55946224192,252113.60488334452,199508.78503034794,0.0,0.0,0.0,0.0,16371.097442871425,0.0,0.0,0.0,0.0,0.0,0.0
