weekstart,country,pred,actual,email_spend_eur,ppc_non_brand_spend_eur,ppc_brand_spend_eur,shop_other_spend_eur,trivago_spend_eur,tripadvisor_spend_eur,googleha_spend_eur,remarketing_spend_eur,display_spend_eur,yt_spend_eur,fb_spend_eur,olv_spend_eur,brandtv_spend_eur,drtv_spend_eur,ooh_spend_eur,radio_spend_eur,print_spend_eur,cinema_spend_eur,baseline
2016-01-04,gb,592892.8923427389,614875.0,0.0,581014.0045105813,196110.1437331742,454581.1543672957,0.0,352006.1757823103,0.0,248232.9633901852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1837.0964062783169,0.0
2016-01-11,gb,582444.2633579731,581537.0,0.0,570732.8770509011,193345.0225572947,445490.01539729297,0.0,343796.26917812874,0.0,247953.6866964753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1723.1801260737702,0.0
2016-01-18,gb,589753.5458660697,572996.0,0.0,577972.0107524341,196218.95167077967,451790.5017440381,0.0,346955.90198170824,0.0,252270.05330362974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-25,gb,596943.4988999744,578357.0,0.0,584981.9558973658,198635.18176995683,458677.12751543836,0.0,350864.786594047,0.0,256782.5167817775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-01,gb,575454.5634451185,574233.0,0.0,563775.9382403699,189901.3659898945,441098.9259647913,0.0,335676.07686712214,0.0,249886.3617697794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-08,gb,542241.1344887844,565438.0,0.0,531118.413888262,178073.10412395798,414417.6378521161,0.0,314858.1683924177,0.0,234009.6935064944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-15,gb,549444.475121973,562017.0,0.0,538173.7409679692,180525.7862123751,421561.412509262,0.0,321190.9398992135,0.0,236405.28381500713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-22,gb,558886.1536568269,549249.0,0.0,547203.014214919,183821.806789701,429588.84449502005,0.0,324106.21353967267,0.0,238895.17425654945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-29,gb,549647.4536705986,560397.0,0.0,538096.630574806,179934.45849686948,424055.6802389904,0.0,319758.5743387637,0.0,236536.6921543919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-07,gb,563178.6899133446,561915.0,0.0,551391.8670635015,184085.846670512,437204.93642762274,0.0,329627.9925722577,0.0,237419.9759039015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1483.2571209527086,0.0
2016-03-14,gb,555575.330528861,558021.0,0.0,543857.7578966095,181287.2529083906,430919.96891189093,0.0,326367.52412217384,0.0,234092.71641061368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1588.942461907398,0.0
2016-03-21,gb,529050.8013970706,520069.0,0.0,517711.1483962437,171943.79958812596,408651.6070402906,0.0,309325.8246076915,0.0,225318.00860220043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1513.0825875684386,0.0
2016-03-28,gb,556316.6792979029,558155.0,0.0,544696.9678174349,180470.30844203942,427635.9572971517,0.0,328017.4933021161,0.0,235404.75894453732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1591.0627115885727,0.0
2016-04-04,gb,574203.3927732788,563756.0,0.0,562223.3722176272,187480.99853762402,441518.8797086987,0.0,338045.91374449455,0.0,242199.56204330304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1588.421548724291,0.0
2016-04-11,gb,561855.6464603246,564120.0,0.0,550098.4661680276,184254.55065130512,431632.2990822404,0.0,328400.4905987357,0.0,237735.70889527793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-18,gb,563811.8428795487,555879.0,0.0,552009.0782693052,184145.11451596528,433492.67565663886,0.0,330605.57850953535,0.0,239389.95018399385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-25,gb,550093.1842795108,566931.0,0.0,538572.9796050752,178568.6568089432,424048.92818704527,0.0,322906.9992595894,0.0,234726.16496563063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-02,gb,547765.3051552433,548211.0,0.0,536203.4650766188,177399.20383363223,422350.4804236161,0.0,322246.6347891271,0.0,234483.64568131982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-09,gb,574378.6233961153,578782.0,0.0,562372.0960164889,189457.29839546967,443669.99608771433,0.0,338002.58661354036,0.0,245577.2803878311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-16,gb,593455.7517156929,602811.0,0.0,581272.9160427747,197221.49697357533,460217.44986501645,0.0,348729.57668179803,0.0,255362.7613267125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-23,gb,585909.6381540761,575145.0,0.0,573839.2151292833,194336.62483898434,452275.29675561015,0.0,342383.28861032927,0.0,253837.0049651842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-30,gb,608163.110324231,589032.0,0.0,595597.2568455212,200590.91463736608,468784.17506646167,0.0,358234.134825069,0.0,265278.1268409744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-06,gb,584781.8026987651,582651.0,0.0,572693.0364800277,192561.10393324122,450667.9711668165,0.0,343169.8642579126,0.0,254020.4835492705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1108.783775976277,0.0
2016-06-13,gb,583772.0871837614,577074.0,0.0,571776.3634187941,192317.00718820136,449918.89660465124,0.0,342687.90190774284,0.0,250786.38826887886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1238.98746303597,0.0
2016-06-20,gb,566472.7780530199,564666.0,0.0,554714.7672490117,185966.7303022188,436111.4647121543,0.0,330080.5717780788,0.0,240581.34856563952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1202.2717808586312,0.0
2016-06-27,gb,594867.5279404693,589960.0,0.0,582741.7858296593,195275.98853620986,458871.6981200418,0.0,348293.10168462835,0.0,256919.091366989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1262.5361882105935,0.0
2016-07-04,gb,615958.013181064,625165.0,0.0,603448.2449675846,204144.1626504616,475287.96952728846,0.0,360736.62117885135,0.0,267031.1213724086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1297.16418594704,0.0
2016-07-11,gb,591532.6030379661,618853.0,0.0,579380.5943637821,194707.57864020264,455954.7014901396,0.0,346486.4406311796,0.0,256355.9110999449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
