country,channel,loglog_elasticity,concave_flag
de,Branded PPC,-0.004427839460453498,True
de,Non-Branded PPC,0.13134325929582857,True
de,Metasearch,0.17009102651132868,True
de,Remarketing,0.09913398027714049,True
de,Email,9.688742241732252e-16,True
gb,Branded PPC,0.026444997063771528,True
gb,Non-Branded PPC,0.2464145443297241,True
gb,Metasearch,0.1601740778281866,True
gb,Remarketing,0.040331595099610484,True
gb,Email,-2.279776359066519e-16,True
us,Branded PPC,0.038521944933633145,True
us,Non-Branded PPC,0.13633037343124843,True
us,Metasearch,0.2645737938637329,True
us,Remarketing,0.10221045820300378,True
us,Email,2.523291130607433e-16,True
