country,channel,elasticity_ADBUDG_total,elasticity_ADBUDG_component
de,Branded PPC,2.622998871581785e-07,3.488684226708813e-05
de,Non-Branded PPC,0.0014697069220271572,0.2875714643213821
de,Metasearch,0.0015048866643701466,0.2950965188016381
de,Remarketing,0.002508529455511535,0.4365428746388501
de,Email,,
gb,Branded PPC,1.7402229003075381e-06,0.35959778334004483
gb,Non-Branded PPC,0.002448334932892515,0.486590420303144
gb,Metasearch,0.004193567227708239,0.45631834379801234
gb,Remarketing,0.0036520893039738503,0.5184652407640186
gb,Email,,
us,Branded PPC,2.480238822096087e-12,2.4528240099399997e-09
us,Non-Branded PPC,0.0025695531235715276,0.5949897711499028
us,Metasearch,0.0011809378481464228,0.5722071752259661
us,Remarketing,0.011953635265517445,0.5664773811399327
us,Email,,
