country,channel,elasticity_loglog
de,Branded PPC,-0.004427839460453498
de,Non-Branded PPC,0.13134325929582857
de,Metasearch,0.17009102651132868
de,Remarketing,0.09913398027714049
de,Email,9.688742241732252e-16
gb,Branded PPC,0.026444997063771528
gb,Non-Branded PPC,0.2464145443297241
gb,Metasearch,0.1601740778281866
gb,Remarketing,0.040331595099610484
gb,Email,-2.279776359066519e-16
us,Branded PPC,0.038521944933633145
us,Non-Branded PPC,0.13633037343124843
us,Metasearch,0.2645737938637329
us,Remarketing,0.10221045820300378
us,Email,2.523291130607433e-16
