country,channel,marginal_bookings_per_dollar_ADBUDG,marginal_ROI_ADBUDG_dollar_per_dollar
de,Branded PPC,2.6827710871105245e-06,1.1197963855680713e-06
de,Non-Branded PPC,0.0003226135140816888,0.0001346598107977917
de,Metasearch,0.0007273914646494379,0.00030361529424591905
de,Remarketing,0.014585162326985033,0.006087888800930923
de,Email,,
gb,Branded PPC,1.8314984356104966e-05,7.742611257229104e-06
gb,Non-Branded PPC,0.0005628572700055167,0.00023794642409865344
gb,Metasearch,0.001904157668815922,0.0008049776246300165
gb,Remarketing,0.03166216827641893,0.0133850980027492
gb,Email,,
us,Branded PPC,2.1709228350918226e-11,1.0635642876124991e-11
us,Non-Branded PPC,0.0004356818026491581,0.0002134463733901818
us,Metasearch,0.000189376532292063,9.277810956795905e-05
us,Remarketing,0.04997586260198522,0.02448384707504004
us,Email,,
