country,channel,marginal_bookings_per_dollar_loglog,marginal_ROI_loglog_dollar_per_dollar
de,Branded PPC,-0.045287399135281424,-0.045287399135281424
de,Non-Branded PPC,0.028830993307104206,0.028830993307104206
de,Metasearch,0.08221400576340712,0.08221400576340712
de,Remarketing,0.5763875689342401,0.5763875689342401
de,Email,,
gb,Branded PPC,0.2783204998822985,0.2783204998822985
gb,Non-Branded PPC,0.05664920099278378,0.05664920099278378
gb,Metasearch,0.07272965522690304,0.07272965522690304
gb,Remarketing,0.34965896083394443,0.34965896083394443
gb,Email,,
us,Branded PPC,0.33717789256237235,0.33717789256237235
us,Non-Branded PPC,0.023115561343133993,0.023115561343133993
us,Metasearch,0.042427353561333654,0.042427353561333654
us,Remarketing,0.4273223753425402,0.4273223753425402
us,Email,,
